# Contents:,Laser Egg 'E583' 30 days raw data
# Generated At:,Kaiterra 2019-12-09 20:19
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,2230
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-29 08:35:00,114,102,44.82,31.86,240,PM2.5
2019-11-29 08:36:00,105,97,51.07,29.59,223,PM2.5
2019-11-29 08:37:00,107,98,51.03,29.6,227,PM2.5
2019-11-29 08:38:00,110,99,50.98,29.63,230,PM2.5
2019-11-29 08:39:00,104,96,50.94,29.65,220,PM2.5
2019-11-29 08:40:00,107,99,51.03,29.66,230,PM2.5
2019-11-29 08:41:00,107,97,50.79,29.68,223,PM2.5
2019-11-29 08:42:00,105,95,50.6,29.69,217,PM2.5
2019-11-29 08:43:00,100,91,49.99,29.7,203,PM2.5
2019-11-29 08:44:00,98,91,49.51,29.71,203,PM2.5
2019-11-29 08:45:00,103,96,49.4,29.72,220,PM2.5
2019-11-29 08:46:00,109,97,50.35,29.72,223,PM2.5
2019-11-29 08:47:00,107,98,50.78,29.74,227,PM2.5
2019-11-29 08:48:00,109,99,50.49,29.77,230,PM2.5
2019-11-29 08:49:00,105,95,50.89,29.78,217,PM2.5
2019-11-29 08:50:00,116,103,51.01,29.79,243,PM2.5
2019-11-29 08:51:00,120,109,51.15,29.81,263,PM2.5
2019-11-29 08:52:00,124,109,51.39,29.82,263,PM2.5
2019-11-29 08:53:00,132,122,51.75,29.84,302,PM2.5
2019-11-29 08:54:00,133,122,51.5,29.86,302,PM2.5
2019-11-29 08:55:00,129,118,51.61,29.87,293,PM2.5
2019-11-29 08:56:00,129,120,52.18,29.88,300,PM2.5
2019-11-29 08:57:00,137,127,52.41,29.89,305,PM2.5
2019-11-29 08:58:00,123,118,51.63,29.9,293,PM2.5
2019-11-29 08:59:00,119,114,51.22,29.91,280,PM2.5
2019-11-29 09:00:00,111,102,50.24,29.91,240,PM2.5
2019-11-29 09:08:00,97,88,46.36,29.91,193,PM2.5
2019-11-29 09:09:00,100,93,46.3,29.92,210,PM2.5
2019-11-29 09:10:00,90,87,46.03,29.93,190,PM2.5
2019-11-29 09:11:00,103,92,45.89,29.92,207,PM2.5
2019-11-29 09:12:00,94,87,45.95,29.91,190,PM2.5
2019-11-29 09:13:00,102,88,45.9,29.92,193,PM2.5
2019-11-29 09:14:00,98,90,45.63,29.92,200,PM2.5
2019-11-29 09:15:00,100,91,45.53,29.91,203,PM2.5
2019-11-29 09:16:00,91,88,45.55,29.91,193,PM2.5
2019-11-29 09:17:00,95,89,45.72,29.91,197,PM2.5
2019-11-29 09:18:00,100,89,45.48,29.91,197,PM2.5
2019-11-29 09:19:00,99,92,45.48,29.9,207,PM2.5
2019-11-29 09:20:00,103,93,45.46,29.9,210,PM2.5
2019-11-29 09:21:00,102,94,45.37,29.91,213,PM2.5
2019-11-29 09:22:00,93,90,45.27,29.9,200,PM2.5
2019-11-29 09:23:00,103,94,45.13,29.91,213,PM2.5
2019-11-29 09:24:00,101,93,45.31,29.9,210,PM2.5
2019-11-29 09:25:00,100,93,45.28,29.9,210,PM2.5
2019-11-29 09:26:00,99,88,45.16,29.89,193,PM2.5
2019-11-29 09:27:00,104,92,45.13,29.89,207,PM2.5
2019-11-29 09:28:00,99,93,45.27,29.88,210,PM2.5
2019-11-29 09:29:00,93,88,45.22,29.88,193,PM2.5
2019-11-29 09:30:00,95,87,45.3,29.87,190,PM2.5
2019-11-29 09:31:00,106,92,45.53,29.83,207,PM2.5
2019-11-29 09:32:00,106,89,45.51,29.78,197,PM2.5
2019-11-29 09:33:00,106,91,45.51,29.76,203,PM2.5
2019-11-29 09:34:00,105,88,45.69,29.75,193,PM2.5
2019-11-29 09:35:00,91,84,45.57,29.73,180,PM2.5
2019-11-29 09:36:00,92,84,45.55,29.72,180,PM2.5
2019-11-29 09:37:00,87,76,45.46,29.71,153,PM2.5
2019-11-29 09:38:00,89,81,45.52,29.69,170,PM2.5
2019-11-29 09:39:00,94,85,45.45,29.69,183,PM2.5
2019-11-29 09:40:00,89,81,45.45,29.68,170,PM2.5
2019-11-29 09:41:00,98,86,45.47,29.64,187,PM2.5
2019-11-29 09:42:00,96,83,45.59,29.6,177,PM2.5
2019-11-29 09:43:00,96,84,45.56,29.58,180,PM2.5
2019-11-29 09:44:00,97,85,45.5,29.57,183,PM2.5
2019-11-29 09:45:00,95,83,45.61,29.55,177,PM2.5
2019-11-29 09:46:00,94,83,46.88,29.52,177,PM2.5
2019-11-29 09:47:00,94,83,48.81,29.49,177,PM2.5
2019-11-29 09:48:00,91,83,48.93,29.45,177,PM2.5
2019-11-29 09:49:00,90,81,49.47,29.44,170,PM2.5
2019-11-29 09:50:00,92,83,48.44,29.44,177,PM2.5
2019-11-29 09:51:00,85,78,48.53,29.45,160,PM2.5
2019-11-29 09:52:00,91,79,48.79,29.47,163,PM2.5
2019-11-29 09:53:00,80,74,48.59,29.47,147,PM2.5
2019-11-29 09:54:00,85,77,48.32,29.48,157,PM2.5
2019-11-29 09:55:00,84,76,48.2,29.5,153,PM2.5
2019-11-29 09:56:00,79,70,47.96,29.54,133,PM2.5
2019-11-29 09:57:00,70,64,47.82,29.57,113,PM2.5
2019-11-29 09:58:00,78,72,47.64,29.58,140,PM2.5
2019-11-29 09:59:00,83,73,47.46,29.62,143,PM2.5
2019-11-29 10:00:00,88,73,47.29,29.62,143,PM2.5
2019-11-29 10:01:00,82,73,46.95,29.62,143,PM2.5
2019-11-29 10:02:00,96,81,46.73,29.62,170,PM2.5
2019-11-29 10:03:00,102,84,47.2,29.59,180,PM2.5
2019-11-29 10:04:00,113,89,48.1,29.53,197,PM2.5
2019-11-29 10:05:00,114,85,47.31,29.48,183,PM2.5
2019-11-29 10:06:00,112,90,47.95,29.45,200,PM2.5
2019-11-29 10:07:00,106,83,47.06,29.42,177,PM2.5
2019-11-29 10:08:00,108,84,47.12,29.39,180,PM2.5
2019-11-29 10:19:00,75,66,47.01,29.34,120,PM2.5
2019-11-29 10:20:00,77,67,46.82,29.4,123,PM2.5
2019-11-29 10:21:00,80,71,46.81,29.44,137,PM2.5
2019-11-29 10:22:00,74,67,46.82,29.47,123,PM2.5
2019-11-29 10:23:00,73,64,46.88,29.49,113,PM2.5
2019-11-29 10:24:00,74,69,47.09,29.52,130,PM2.5
2019-11-29 10:25:00,81,68,47.06,29.53,127,PM2.5
2019-11-29 10:26:00,71,63,47.13,29.54,110,PM2.5
2019-11-29 10:27:00,77,63,47.09,29.55,110,PM2.5
2019-11-29 10:28:00,71,65,47.4,29.56,117,PM2.5
2019-11-29 10:29:00,79,65,47.32,29.56,117,PM2.5
2019-11-29 10:30:00,77,69,47.36,29.56,130,PM2.5
2019-11-29 10:31:00,76,65,47.41,29.55,117,PM2.5
2019-11-29 10:32:00,75,69,47.52,29.56,130,PM2.5
2019-11-29 10:33:00,66,58,47.58,29.55,97,PM2.5
2019-11-29 10:34:00,71,62,47.7,29.54,107,PM2.5
2019-11-29 10:35:00,78,69,47.76,29.53,130,PM2.5
2019-11-29 10:36:00,75,63,47.77,29.51,110,PM2.5
2019-11-29 10:37:00,73,63,47.86,29.49,110,PM2.5
2019-11-29 10:38:00,69,63,47.98,29.48,110,PM2.5
2019-11-29 10:39:00,70,63,48.07,29.46,110,PM2.5
2019-11-29 10:40:00,78,68,48.17,29.45,127,PM2.5
2019-11-29 10:41:00,73,67,48.26,29.43,123,PM2.5
2019-11-29 10:42:00,65,59,48.35,29.41,98,PM2.5
2019-11-29 10:43:00,64,56,48.43,29.39,93,PM2.5
2019-11-29 10:44:00,74,66,48.51,29.36,120,PM2.5
2019-11-29 10:45:00,73,66,48.6,29.34,120,PM2.5
2019-11-29 10:46:00,70,61,48.72,29.32,103,PM2.5
2019-11-29 11:02:00,69,63,50.05,28.91,110,PM2.5
2019-11-29 11:03:00,69,59,50.15,28.89,98,PM2.5
2019-11-29 11:04:00,63,56,50.22,28.86,93,PM2.5
2019-11-29 11:05:00,69,62,50.27,28.83,107,PM2.5
2019-11-29 11:06:00,66,59,50.36,28.81,98,PM2.5
