# Contents:,Laser Egg 'E122' 30 days raw data
# Generated At:,Kaiterra 2019-12-09 20:01
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,768
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-27 15:55:00,248,225,57.41,24.99,381,PM2.5
2019-11-27 15:56:00,235,213,59.61,24.34,372,PM2.5
2019-11-27 15:57:00,233,211,59.5,24.6,370,PM2.5
2019-11-27 15:58:00,238,216,59.14,24.8,374,PM2.5
2019-11-27 15:59:00,246,226,58.73,24.94,382,PM2.5
2019-11-27 16:00:00,237,218,58.39,25.05,375,PM2.5
2019-11-27 16:01:00,208,191,58.36,25.11,355,PM2.5
2019-11-27 16:02:00,206,189,57.97,25.13,353,PM2.5
2019-11-27 16:03:00,208,190,58.06,25.13,354,PM2.5
2019-11-27 16:04:00,201,179,57.9,25.12,345,PM2.5
2019-11-27 16:05:00,204,186,57.96,25.13,351,PM2.5
2019-11-27 16:06:00,204,185,57.87,25.18,350,PM2.5
2019-11-27 16:07:00,213,195,57.54,25.19,358,PM2.5
2019-11-27 16:08:00,196,182,57.87,25.21,348,PM2.5
2019-11-27 16:09:00,198,184,57.98,25.22,349,PM2.5
2019-11-27 16:10:00,205,184,58.09,25.24,349,PM2.5
2019-11-27 16:11:00,203,185,58.09,25.25,350,PM2.5
2019-11-27 16:12:00,205,191,58.35,25.28,355,PM2.5
2019-11-27 16:13:00,206,190,58.29,25.32,354,PM2.5
2019-11-27 16:14:00,216,196,58.25,25.34,358,PM2.5
2019-11-27 16:15:00,218,198,58.67,25.36,360,PM2.5
2019-11-27 16:16:00,218,199,58.95,25.39,361,PM2.5
2019-11-27 16:17:00,227,202,59.16,25.37,363,PM2.5
2019-11-27 16:18:00,218,199,59.44,25.36,361,PM2.5
2019-11-27 16:19:00,217,200,59.63,25.32,362,PM2.5
2019-11-27 16:20:00,226,201,59.54,25.25,362,PM2.5
2019-11-27 16:21:00,218,197,59.47,25.25,359,PM2.5
2019-11-27 16:22:00,188,178,59.54,25.25,345,PM2.5
2019-11-27 16:23:00,195,180,59.74,25.29,346,PM2.5
2019-11-27 16:24:00,185,182,59.85,25.31,348,PM2.5
2019-11-27 16:25:00,186,182,59.99,25.33,348,PM2.5
2019-11-27 16:26:00,198,182,60.06,25.36,348,PM2.5
2019-11-27 16:27:00,192,177,60.25,25.36,344,PM2.5
2019-11-27 19:12:00,207,201,70.06,20.94,362,PM2.5
2019-11-27 19:13:00,211,198,70.04,20.94,360,PM2.5
2019-11-27 19:14:00,206,199,70.07,20.93,361,PM2.5
2019-11-27 19:15:00,214,197,70.17,20.91,359,PM2.5
2019-11-27 19:16:00,202,189,70.31,20.91,353,PM2.5
2019-11-27 19:17:00,224,206,70.48,20.89,366,PM2.5
2019-11-27 19:18:00,237,221,70.61,20.88,378,PM2.5
2019-11-27 19:19:00,229,214,70.74,20.87,372,PM2.5
2019-11-27 19:20:00,226,211,70.95,20.85,370,PM2.5
2019-11-27 19:21:00,223,215,71.05,20.84,373,PM2.5
2019-11-27 19:22:00,226,214,71.15,20.84,372,PM2.5
2019-11-27 19:23:00,229,224,71.37,20.83,380,PM2.5
2019-11-27 19:24:00,223,215,71.46,20.81,373,PM2.5
2019-11-27 19:25:00,250,233,71.67,20.8,387,PM2.5
2019-11-27 19:26:00,250,235,71.82,20.79,388,PM2.5
