# Contents:,Laser Egg 'E163' 30 days raw data
# Generated At:,Kaiterra 2019-12-09 20:04
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,4093
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-22 14:35:00,321,294,51.45,26.29,434,PM2.5
2019-11-22 14:36:00,321,293,51.55,26.5,433,PM2.5
2019-11-22 14:37:00,347,310,51.25,26.68,446,PM2.5
2019-11-22 14:38:00,378,341,50.83,26.86,470,PM2.5
2019-11-22 14:39:00,414,379,50.06,26.99,499,PM2.5
2019-11-22 14:40:00,445,396,49.99,27.13,500,PM2.5
2019-11-22 14:41:00,444,397,49.97,27.23,500,PM2.5
2019-11-22 14:42:00,464,416,49.65,27.32,500,PM2.5
2019-11-22 14:43:00,453,400,49.59,27.4,500,PM2.5
2019-11-22 14:44:00,443,394,49.37,27.47,500,PM2.5
2019-11-22 14:45:00,440,391,49.26,27.55,500,PM2.5
2019-11-22 14:46:00,431,394,48.97,27.64,500,PM2.5
2019-11-22 14:47:00,435,392,48.73,27.72,500,PM2.5
2019-11-22 14:48:00,420,377,48.71,27.8,498,PM2.5
2019-11-22 14:49:00,418,377,48.53,27.87,498,PM2.5
2019-11-22 14:50:00,409,368,48.53,27.94,491,PM2.5
2019-11-22 14:51:00,403,364,48.28,28.02,488,PM2.5
2019-11-22 14:52:00,416,364,48.3,28.09,488,PM2.5
2019-11-22 14:53:00,402,364,48.07,28.16,488,PM2.5
2019-11-22 14:54:00,342,311,47.86,28.24,447,PM2.5
2019-11-22 14:55:00,329,297,47.72,28.35,436,PM2.5
2019-11-22 14:56:00,335,299,47.48,28.44,438,PM2.5
2019-11-22 14:57:00,340,310,47.42,28.52,446,PM2.5
2019-11-22 14:58:00,330,304,47.3,28.59,442,PM2.5
2019-11-22 14:59:00,313,292,47.19,28.66,432,PM2.5
2019-11-22 15:00:00,318,284,47.04,28.72,426,PM2.5
2019-11-22 15:01:00,334,308,47.06,28.77,445,PM2.5
2019-11-22 15:02:00,329,298,46.99,28.83,437,PM2.5
2019-11-22 15:03:00,318,298,46.89,28.88,437,PM2.5
2019-11-22 15:04:00,337,315,46.84,28.93,450,PM2.5
2019-11-22 15:05:00,334,309,46.75,28.97,445,PM2.5
2019-11-22 15:06:00,289,259,46.76,29.02,407,PM2.5
2019-11-22 15:07:00,326,299,46.68,29.06,438,PM2.5
2019-11-22 15:08:00,319,289,46.71,29.11,430,PM2.5
2019-11-22 15:09:00,321,292,46.6,29.15,432,PM2.5
2019-11-22 15:10:00,326,290,46.59,29.19,431,PM2.5
2019-11-22 15:11:00,310,274,46.59,29.22,418,PM2.5
2019-11-22 15:12:00,309,281,46.5,29.26,424,PM2.5
2019-11-22 15:13:00,330,296,46.47,29.29,435,PM2.5
2019-11-22 15:14:00,303,272,46.21,29.49,417,PM2.5
2019-11-22 15:15:00,335,310,47.09,29.25,446,PM2.5
2019-11-22 15:16:00,331,302,47.22,29.25,440,PM2.5
2019-11-22 15:17:00,323,300,47.23,29.27,438,PM2.5
2019-11-22 15:18:00,327,298,47.3,29.29,437,PM2.5
2019-11-22 15:19:00,325,295,47.63,29.3,435,PM2.5
2019-11-22 15:20:00,317,288,47.66,29.32,429,PM2.5
2019-11-22 15:21:00,314,291,47.76,29.33,432,PM2.5
2019-11-22 15:22:00,309,283,47.91,29.36,425,PM2.5
2019-11-22 15:23:00,308,281,47.97,29.38,424,PM2.5
2019-11-22 15:24:00,312,286,48,29.4,428,PM2.5
2019-11-22 15:25:00,308,285,48.04,29.4,427,PM2.5
2019-11-22 15:26:00,311,287,48.11,29.41,428,PM2.5
2019-11-22 15:27:00,299,275,48.14,29.43,419,PM2.5
2019-11-22 15:28:00,311,279,48.22,29.43,422,PM2.5
2019-11-22 15:29:00,303,275,48.2,29.44,419,PM2.5
2019-11-22 15:30:00,301,271,48.07,29.45,416,PM2.5
2019-11-22 15:31:00,302,280,48.23,29.43,423,PM2.5
2019-11-22 15:32:00,283,263,48.49,29.41,410,PM2.5
2019-11-22 15:33:00,303,276,48.7,29.39,420,PM2.5
2019-11-22 15:34:00,288,266,49.08,29.38,412,PM2.5
2019-11-22 15:35:00,272,253,49.2,29.38,402,PM2.5
2019-11-22 15:36:00,284,261,49.1,29.39,408,PM2.5
2019-11-22 15:37:00,291,268,49.17,29.4,414,PM2.5
2019-11-22 15:38:00,292,262,49.29,29.41,409,PM2.5
2019-11-22 15:39:00,289,263,49.16,29.43,410,PM2.5
2019-11-22 15:40:00,283,257,49.32,29.44,405,PM2.5
2019-11-22 15:41:00,286,265,49.35,29.47,412,PM2.5
2019-11-22 15:42:00,290,265,49.3,29.47,412,PM2.5
2019-11-22 15:43:00,285,263,49.49,29.47,410,PM2.5
2019-11-22 15:44:00,279,260,49.41,29.47,408,PM2.5
2019-11-22 15:45:00,276,256,49.5,29.47,405,PM2.5
2019-11-22 15:46:00,273,251,49.79,29.43,401,PM2.5
2019-11-22 15:47:00,270,253,50.03,29.34,402,PM2.5
2019-11-22 15:48:00,275,254,50.22,29.24,403,PM2.5
2019-11-22 15:49:00,267,248,50.99,29.14,398,PM2.5
2019-11-22 15:50:00,247,228,51.33,29,383,PM2.5
2019-11-22 15:51:00,244,225,51.57,28.85,381,PM2.5
2019-11-22 15:52:00,255,237,51.68,28.69,390,PM2.5
2019-11-22 15:53:00,255,244,52.07,28.53,395,PM2.5
2019-11-22 15:54:00,268,246,52.5,28.35,397,PM2.5
2019-11-22 15:55:00,263,241,52.84,28.16,393,PM2.5
2019-11-22 15:56:00,271,252,53.87,27.92,402,PM2.5
2019-11-22 15:57:00,254,236,54.08,27.74,389,PM2.5
2019-11-22 15:58:00,242,224,54.4,27.56,380,PM2.5
2019-11-22 15:59:00,248,229,54.9,27.41,384,PM2.5
2019-11-22 16:00:00,257,234,55.26,27.27,388,PM2.5
2019-11-22 16:01:00,251,227,55.61,27.13,382,PM2.5
2019-11-22 16:02:00,250,230,55.89,27.01,385,PM2.5
2019-11-22 16:03:00,246,229,56.2,26.89,384,PM2.5
2019-11-22 16:04:00,240,223,56.56,26.8,379,PM2.5
2019-11-22 16:05:00,245,226,56.89,26.69,382,PM2.5
2019-11-22 16:06:00,242,228,57.21,26.61,383,PM2.5
2019-11-22 16:07:00,240,224,57.67,26.52,380,PM2.5
2019-11-22 16:08:00,246,223,57.59,26.44,379,PM2.5
2019-11-22 16:09:00,246,224,58.02,26.36,380,PM2.5
2019-11-22 16:10:00,239,226,58.14,26.29,382,PM2.5
2019-11-22 16:11:00,239,225,58.44,26.22,381,PM2.5
2019-11-22 16:12:00,241,223,58.7,26.15,379,PM2.5
2019-11-22 16:13:00,256,235,58.84,26.11,388,PM2.5
2019-11-22 16:14:00,280,254,58.81,26.07,403,PM2.5
2019-11-22 16:15:00,283,260,58.75,26.05,408,PM2.5
2019-11-22 16:16:00,282,259,58.8,26.01,407,PM2.5
2019-11-22 16:17:00,267,251,58.57,25.98,401,PM2.5
2019-11-22 16:18:00,279,255,58.63,25.95,404,PM2.5
2019-11-22 16:19:00,275,253,58.51,25.92,402,PM2.5
2019-11-22 16:20:00,272,248,58.25,25.89,398,PM2.5
2019-11-22 16:21:00,273,254,57.94,25.86,403,PM2.5
2019-11-22 16:22:00,258,241,57.64,25.84,393,PM2.5
2019-11-22 16:23:00,271,252,57.39,25.82,402,PM2.5
2019-11-22 16:24:00,261,244,57.22,25.79,395,PM2.5
2019-11-22 16:25:00,259,240,57.19,25.77,392,PM2.5
2019-11-22 16:26:00,265,242,56.92,25.75,394,PM2.5
2019-11-22 16:27:00,260,241,56.86,25.72,393,PM2.5
2019-11-22 16:28:00,232,214,56.89,25.68,372,PM2.5
2019-11-22 16:29:00,222,208,56.66,25.65,368,PM2.5
2019-11-22 16:30:00,225,209,56.47,25.62,368,PM2.5
2019-11-22 16:31:00,232,217,56.55,25.59,375,PM2.5
2019-11-22 16:32:00,214,202,56.74,25.55,363,PM2.5
2019-11-22 16:33:00,228,209,56.4,25.52,368,PM2.5
2019-11-22 16:34:00,225,208,56.49,25.49,368,PM2.5
2019-11-22 16:35:00,226,215,56.28,25.45,373,PM2.5
2019-11-22 16:36:00,235,215,56.25,25.43,373,PM2.5
2019-11-22 16:37:00,239,222,55.66,25.4,378,PM2.5
2019-11-22 16:38:00,259,239,55.42,25.36,392,PM2.5
2019-11-22 16:39:00,255,235,55.41,25.32,388,PM2.5
2019-11-22 16:40:00,248,231,55.83,25.3,385,PM2.5
2019-11-22 16:41:00,257,232,55.82,25.28,386,PM2.5
2019-11-22 16:42:00,264,244,55.36,25.25,395,PM2.5
2019-11-22 16:43:00,259,238,55.29,25.23,391,PM2.5
2019-11-22 16:44:00,255,236,55.57,25.2,389,PM2.5
2019-11-22 16:45:00,259,236,55.54,25.18,389,PM2.5
2019-11-22 16:46:00,257,238,55.44,25.15,391,PM2.5
2019-11-22 16:47:00,252,233,55.7,25.13,387,PM2.5
2019-11-22 16:48:00,250,231,55.66,25.12,385,PM2.5
2019-11-22 16:49:00,251,230,55.7,25.1,385,PM2.5
2019-11-22 16:50:00,254,236,55.93,25.08,389,PM2.5
2019-11-22 16:51:00,254,236,55.79,25.06,389,PM2.5
2019-11-22 16:52:00,253,235,55.61,25.02,388,PM2.5
2019-11-22 16:53:00,256,237,56.1,25,390,PM2.5
2019-11-22 16:54:00,251,236,56.22,24.99,389,PM2.5
2019-11-22 16:55:00,249,232,56.37,24.97,386,PM2.5
2019-11-22 16:56:00,252,232,56.35,24.95,386,PM2.5
2019-11-22 16:57:00,262,238,56.54,24.94,391,PM2.5
2019-11-22 16:58:00,256,236,56.67,24.92,389,PM2.5
2019-11-22 16:59:00,255,231,56.75,24.9,385,PM2.5
2019-11-22 17:00:00,259,235,56.76,24.88,388,PM2.5
2019-11-22 17:01:00,253,235,57.05,24.86,388,PM2.5
2019-11-22 17:02:00,248,229,57.32,24.84,384,PM2.5
2019-11-22 17:03:00,256,235,57.46,24.83,388,PM2.5
2019-11-22 17:04:00,260,234,57.69,24.8,388,PM2.5
2019-11-22 17:05:00,223,206,58.02,24.79,366,PM2.5
2019-11-22 17:06:00,216,202,58.14,24.77,363,PM2.5
2019-11-22 17:07:00,221,206,58.29,24.77,366,PM2.5
2019-11-22 17:08:00,223,211,58.54,24.75,370,PM2.5
