# Contents:,Laser Egg 'E383' 30 days raw data
# Generated At:,Kaiterra 2019-12-09 20:25
# Time Span:,2019-11-07 00:00 to 2019-12-07 00:00
# Row Count:,5381
# Time Zone:,UTC+0530
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),temp (C),Overall Index (IN),Primary Pollutant
2019-11-07 14:36:00,417,365,61.9,23.88,488,PM2.5
2019-11-07 14:37:00,416,358,61.97,23.83,483,PM2.5
2019-11-07 14:38:00,426,369,62.22,23.82,492,PM2.5
2019-11-07 14:39:00,423,368,62.21,23.8,491,PM2.5
2019-11-07 14:40:00,428,376,62.37,23.78,497,PM2.5
2019-11-07 14:41:00,418,368,62.45,23.76,491,PM2.5
2019-11-07 14:42:00,429,364,62.61,23.77,488,PM2.5
2019-11-07 14:43:00,435,369,62.77,23.76,492,PM2.5
2019-11-07 14:44:00,438,377,63.07,23.75,498,PM2.5
2019-11-07 14:45:00,420,361,63.28,23.75,485,PM2.5
2019-11-07 14:46:00,423,365,63.39,23.76,488,PM2.5
2019-11-07 14:47:00,430,361,63.15,23.75,485,PM2.5
2019-11-07 14:48:00,412,354,63.16,23.74,480,PM2.5
2019-11-07 14:49:00,418,358,63.19,23.73,483,PM2.5
2019-11-07 14:50:00,407,350,63.18,23.71,477,PM2.5
2019-11-07 14:51:00,402,350,63.05,23.71,477,PM2.5
2019-11-07 14:52:00,396,343,62.95,23.69,472,PM2.5
2019-11-07 14:53:00,381,327,62.82,23.69,459,PM2.5
2019-11-07 14:54:00,379,326,62.49,23.68,458,PM2.5
2019-11-07 14:55:00,354,309,62.11,23.66,445,PM2.5
2019-11-07 14:56:00,356,307,62.13,23.65,444,PM2.5
2019-11-07 14:57:00,356,310,61.87,23.64,446,PM2.5
2019-11-07 14:58:00,355,300,61.4,23.59,438,PM2.5
2019-11-07 14:59:00,331,288,61.58,23.58,429,PM2.5
2019-11-07 15:00:00,315,273,61.39,23.57,418,PM2.5
2019-11-07 15:01:00,303,265,61.24,23.56,412,PM2.5
2019-11-07 15:02:00,289,254,60.76,23.55,403,PM2.5
2019-11-07 15:03:00,288,251,60.76,23.53,401,PM2.5
2019-11-07 15:04:00,279,240,60.11,23.52,392,PM2.5
2019-11-07 15:05:00,266,230,60.38,23.5,385,PM2.5
2019-11-07 15:06:00,265,231,60.5,23.49,385,PM2.5
2019-11-07 15:07:00,277,243,60.17,23.47,395,PM2.5
2019-11-07 15:08:00,267,236,60.42,23.44,389,PM2.5
2019-11-07 15:09:00,272,242,60.56,23.43,394,PM2.5
2019-11-07 15:10:00,275,240,60.51,23.43,392,PM2.5
2019-11-07 15:11:00,299,265,60.58,23.4,412,PM2.5
2019-11-07 15:12:00,301,258,60.86,23.37,406,PM2.5
